,participant,question,choice,task,reward,trial,tier
124,4,Q5,to accept responsibility for one's own decisions.,0,0,8,0.0
125,4,Q6,are native,0,0,9,0.0
126,4,Q7,than a long period of continuous study.,0,0,10,0.0
127,4,Q8,those in Crime and Punishment exhibit,0,0,11,0.0
128,4,Q9,portrays the feelings of many Spaniards,0,0,12,0.0
129,4,Q10,and finally succeeded,0,0,13,0.0
130,4,Q11,had lain on the hay beside it's mother and had begun to nurse as soon as the boy had set,0,0,14,0.0
131,4,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,0,15,0.0
132,4,Q13,the city council designated him,0,0,16,0.0
133,4,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
134,4,Q15,If the room had been brighter,0,0,18,0.0
135,4,Q16,two students because they used notes anyway.,0,0,19,0.0
136,4,Q17,through which gas is exchanged,0,0,20,0.0
137,4,Q18,who tends to resist any attempt at,0,0,21,0.0
138,4,Q19,The amount of water in living cells varies,0,0,22,0.0
139,4,Q20,The ancient scientists believe,0,0,23,0.0
140,4,score,10,0,0,24,0.0
141,4,absAssess1,5,0,0,25,0.0
142,4,relAssess1,35,0,0,26,0.0
143,4,diffOther1,3,0,0,27,0.0
144,4,diffSelf1,8,0,0,28,0.0
145,5,absAssess0,11,0,0,0,0.0
146,5,relAssess0,39,0,0,1,0.0
147,5,diffOther0,4,0,0,2,0.0
148,5,diffSelf0,7,0,0,3,0.0
149,5,Q1,he or she faces expectations of mastering the printed form of language.,0,0,4,0.0
150,5,Q2,man and found,0,0,5,0.0
151,5,Q3,poetry and art are,0,0,6,0.0
152,5,Q4,making a choice difficult in selecting,0,0,7,0.0
153,5,Q5,to accept responsibility for one's own decisions.,0,0,8,0.0
154,5,Q6,are native to shores,0,0,9,0.0
155,5,Q7,than a long period of continuous study.,0,0,10,0.0
156,5,Q8,those in Crime and Punishment exhibits,0,0,11,0.0
157,5,Q9,portrayal of the feelings of many Spaniards,0,0,12,0.0
158,5,Q10,and finally succeeded,0,0,13,0.0
159,5,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,0,14,0.0
160,5,Q12,lonely in the crib and enjoying the company of adults is consistently fascinated at,0,0,15,0.0
161,5,Q13,the city council designated him,0,0,16,0.0
162,5,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
163,5,Q15,If the room was brighter,0,0,18,0.0
164,5,Q16,two students because of them using notes.,0,0,19,0.0
165,5,Q17,through which gas is exchanged,0,0,20,0.0
166,5,Q18,who tends to resist any attempt at,0,0,21,0.0
167,5,Q19,The amounts of water varies in living cells,0,0,22,0.0
168,5,Q20,The ancient scientists believe,0,0,23,0.0
169,5,score,4,0,0,24,0.0
170,5,absAssess1,5,0,0,25,0.0
171,5,relAssess1,19,0,0,26,0.0
172,5,diffOther1,4,0,0,27,0.0
173,5,diffSelf1,9,0,0,28,0.0
174,6,absAssess0,15,0,0,0,0.0
175,6,relAssess0,71,0,0,1,0.0
176,6,diffOther0,4,0,0,2,0.0
177,6,diffSelf0,5,0,0,3,0.0
178,6,Q1,he or she faces expectations of mastering the printed form of language.,0,0,4,0.0
179,6,Q2,man and found,0,0,5,0.0
180,6,Q3,"poetry, along with all the other arts, is",0,0,6,0.0
181,6,Q4,it difficult to choose,0,0,7,0.0
182,6,Q5,to accept responsibility for one's own decisions.,0,0,8,0.0
183,6,Q6,are native to shores,0,0,9,0.0
184,6,Q7,than a long period of continuous study.,0,0,10,0.0
185,6,Q8,those in Crime and Punishment exhibit,0,0,11,0.0
186,6,Q9,portrayal of the feelings of many Spaniards,0,0,12,0.0
187,6,Q10,and finally succeeded,0,0,13,0.0
188,6,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,0,14,0.0
189,6,Q12,"alone or in company, is consistently fascinated at",0,0,15,0.0
190,6,Q13,the city council designated him,0,0,16,0.0
191,6,Q14,"""Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
192,6,Q15,If the room could have been brighter,0,0,18,0.0
193,6,Q16,two students because they used notes anyway.,0,0,19,0.0
194,6,Q17,through which exchange of gases occurs,0,0,20,0.0
195,6,Q18,who tends to resist any attempt at,0,0,21,0.0
196,6,Q19,The amount of water in living cells varies,0,0,22,0.0
197,6,Q20,The ancient belief of scientists was,0,0,23,0.0
198,6,score,11,0,0,24,0.0
199,6,absAssess1,8,0,0,25,0.0
200,6,relAssess1,14,0,0,26,0.0
201,6,diffOther1,5,0,0,27,0.0
202,6,diffSelf1,8,0,0,28,0.0
203,7,absAssess0,10,0,0,0,0.0
204,7,relAssess0,40,0,0,1,0.0
205,7,diffOther0,5,0,0,2,0.0
206,7,diffSelf0,6,0,0,3,0.0
207,7,Q1,he or she is expected to master the printed form of language.,0,0,4,0.0
208,7,Q2,man and found,0,0,5,0.0
209,7,Q3,"poetry, along with all the other arts, is",0,0,6,0.0
210,7,Q4,it difficult to choose,0,0,7,0.0
211,7,Q5,to accept responsibility for one's own decisions.,0,0,8,0.0
212,7,Q6,are native to shores,0,0,9,0.0
213,7,Q7,"than a long, continuous period of study.",0,0,10,0.0
214,7,Q8,those in Crime and Punishment exhibits,0,0,11,0.0
215,7,Q9,portrays the feelings of many Spaniards,0,0,12,0.0
216,7,Q10,and finally succeeded,0,0,13,0.0
217,7,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,0,14,0.0
218,7,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated at",0,0,15,0.0
219,7,Q13,the city council designated him,0,0,16,0.0
220,7,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
221,7,Q15,If the room had been brighter,0,0,18,0.0
222,7,Q16,two students because they used notes anyway.,0,0,19,0.0
223,7,Q17,occurs through the exchange of gases,0,0,20,0.0
224,7,Q18,who tends to resist any attempt at,0,0,21,0.0
225,7,Q19,The amount of water in living cells vary,0,0,22,0.0
226,7,Q20,The belief of ancient scientists were,0,0,23,0.0
227,7,score,9,0,0,24,0.0
228,7,absAssess1,10,0,0,25,0.0
229,7,relAssess1,50,0,0,26,0.0
230,7,diffOther1,6,0,0,27,0.0
231,7,diffSelf1,8,0,0,28,0.0
232,8,absAssess0,13,0,0,0,0.0
233,8,relAssess0,70,0,0,1,0.0
234,8,diffOther0,5,0,0,2,0.0
235,8,diffSelf0,2,0,0,3,0.0
236,8,Q1,he or she is expected to master the printed form of language.,0,0,4,0.0
237,8,Q2,man and had found,0,0,5,0.0
238,8,Q3,"poetry, along with all the other arts, are",0,0,6,0.0
239,8,Q4,it difficult to choose,0,0,7,0.0
240,8,Q5,accepting responsibility for one's own decisions.,0,0,8,0.0
241,8,Q6,are native to shores,0,0,9,0.0
242,8,Q7,than a long period of continuous study.,0,0,10,0.0
243,8,Q8,those in Crime and Punishment exhibit,0,0,11,0.0
244,8,Q9,feelings portrayed by Spaniards,0,0,12,0.0
245,8,Q10,and finally succeeded,0,0,13,0.0
246,8,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,0,14,0.0
247,8,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,0,15,0.0
248,8,Q13,the city council designated him,0,0,16,0.0
249,8,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
250,8,Q15,If the room had been brighter,0,0,18,0.0
251,8,Q16,two students because of them using notes.,0,0,19,0.0
252,8,Q17,through which exchange of gas occurs,0,0,20,0.0
253,8,Q18,who tends to resist any attempt at,0,0,21,0.0
254,8,Q19,The amount of water in cells vary,0,0,22,0.0
255,8,Q20,The belief of ancient scientists were,0,0,23,0.0
256,8,score,7,0,0,24,0.0
257,8,absAssess1,11,0,0,25,0.0
258,8,relAssess1,30,0,0,26,0.0
259,8,diffOther1,5,0,0,27,0.0
260,8,diffSelf1,6,0,0,28,0.0
261,9,absAssess0,18,0,0,0,0.0
262,9,relAssess0,62,0,0,1,0.0
263,9,diffOther0,4,0,0,2,0.0
264,9,diffSelf0,5,0,0,3,0.0
265,9,Q1,he or she expects to master the printed form of language.,0,0,4,0.0
266,9,Q2,man and found,0,0,5,0.0
267,9,Q3,"poetry, along with all the other arts, is",0,0,6,0.0
268,9,Q4,it difficult to choose,0,0,7,0.0
269,9,Q5,accepting responsibility and making one's own decisions.,0,0,8,0.0
270,9,Q6,are native only in shores,0,0,9,0.0
271,9,Q7,"than studying for a long, continuous period.",0,0,10,0.0
272,9,Q8,Crime and Punishment exhibits,0,0,11,0.0
273,9,Q9,portrays the feelings of many Spaniards,0,0,12,0.0
274,9,Q10,and finally succeeded,0,0,13,0.0
275,9,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,0,14,0.0
276,9,Q12,"alone or in company, is consistently fascinated at",0,0,15,0.0
277,9,Q13,the city council designated him,0,0,16,0.0
278,9,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
279,9,Q15,If the room would have been brighter,0,0,18,0.0
280,9,Q16,two students due to the use of their notes.,0,0,19,0.0
281,9,Q17,through which exchange of gas occurs,0,0,20,0.0
282,9,Q18,who tends to resist any attempt at,0,0,21,0.0
283,9,Q19,The amount of water in living cells varies,0,0,22,0.0
284,9,Q20,The belief of ancient scientists was,0,0,23,0.0
285,9,score,7,0,0,24,0.0
286,9,absAssess1,16,0,0,25,0.0
287,9,relAssess1,52,0,0,26,0.0
288,9,diffOther1,6,0,0,27,0.0
289,9,diffSelf1,6,0,0,28,0.0
290,10,absAssess0,15,0,0,0,0.0
291,10,relAssess0,70,0,0,1,0.0
292,10,diffOther0,7,0,0,2,0.0
293,10,diffSelf0,3,0,0,3,0.0
294,10,Q1,he or she is expected to master the printed form of language.,0,0,4,0.0
295,10,Q2,man and found,0,0,5,0.0
296,10,Q3,"poetry, along with all the other arts, is",0,0,6,0.0
297,10,Q4,it difficult to choose,0,0,7,0.0
298,10,Q5,accepting responsibility for one's own decisions.,0,0,8,0.0
299,10,Q6,are native to shores,0,0,9,0.0
300,10,Q7,than a long period of continuous study.,0,0,10,0.0
301,10,Q8,those in Crime and Punishment exhibit,0,0,11,0.0
302,10,Q9,feelings,0,0,12,0.0
303,10,Q10,and finally succeeded,0,0,13,0.0
304,10,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,0,14,0.0
305,10,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,0,15,0.0
306,10,Q13,he was designated by the city council,0,0,16,0.0
307,10,Q14,"""Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
308,10,Q15,If the room was brighter,0,0,18,0.0
309,10,Q16,two students because they used notes anyway.,0,0,19,0.0
310,10,Q17,through which gas is exchanged,0,0,20,0.0
311,10,Q18,who tends to resist any attempt at,0,0,21,0.0
312,10,Q19,The amount of water in living cells varies,0,0,22,0.0
313,10,Q20,The ancient scientists beliefs were,0,0,23,0.0
314,10,score,13,0,0,24,0.0
315,10,absAssess1,10,0,0,25,0.0
316,10,relAssess1,50,0,0,26,0.0
317,10,diffOther1,6,0,0,27,0.0
318,10,diffSelf1,6,0,0,28,0.0
319,11,absAssess0,18,0,0,0,0.0
320,11,relAssess0,60,0,0,1,0.0
321,11,diffOther0,4,0,0,2,0.0
322,11,diffSelf0,3,0,0,3,0.0
323,11,Q1,he or she is expected to master the printed form of language.,0,0,4,0.0
324,11,Q2,man and found,0,0,5,0.0
325,11,Q3,"poetry, along with all the other arts, is",0,0,6,0.0
326,11,Q4,it difficult to choose,0,0,7,0.0
327,11,Q5,to accept responsibility for one's own decisions.,0,0,8,0.0
328,11,Q6,are native to shores,0,0,9,0.0
329,11,Q7,"than a period of long, continuous study.",0,0,10,0.0
330,11,Q8,those in Crime and Punishment exhibit,0,0,11,0.0
331,11,Q9,feelings portrayed by Spaniards,0,0,12,0.0
332,11,Q10,and finally succeeded,0,0,13,0.0
333,11,Q11,had lain on the hay beside its mother and had begun to nurse as soon as the boy had set,0,0,14,0.0
334,11,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,0,15,0.0
335,11,Q13,he was designated by the city council,0,0,16,0.0
336,11,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
337,11,Q15,If the room had been brighter,0,0,18,0.0
338,11,Q16,two students because they used notes anyway.,0,0,19,0.0
339,11,Q17,through which gas is exchanged,0,0,20,0.0
340,11,Q18,who tends to resist any attempt at,0,0,21,0.0
341,11,Q19,The amount of water in living cells varies,0,0,22,0.0
342,11,Q20,The ancient scientists believe,0,0,23,0.0
343,11,score,14,0,0,24,0.0
344,11,absAssess1,15,0,0,25,0.0
345,11,relAssess1,53,0,0,26,0.0
346,11,diffOther1,3,0,0,27,0.0
347,11,diffSelf1,4,0,0,28,0.0
348,12,absAssess0,20,0,0,0,0.0
349,12,relAssess0,98,0,0,1,0.0
350,12,diffOther0,1,0,0,2,0.0
351,12,diffSelf0,1,0,0,3,0.0
352,12,Q1,he or she faces expectations of mastering the printed form of language.,0,0,4,0.0
353,12,Q2,"man, he found",0,0,5,0.0
354,12,Q3,"poetry, along with all the other arts, are",0,0,6,0.0
355,12,Q4,it difficult to choose,0,0,7,0.0
356,12,Q5,to accept responsibility for one's own decisions.,0,0,8,0.0
357,12,Q6,are native,0,0,9,0.0
358,12,Q7,"than a long, continuous period of study.",0,0,10,0.0
359,12,Q8,characterized by,0,0,11,0.0
360,12,Q9,feelings portrayed by Spaniards,0,0,12,0.0
361,12,Q10,and finally succeeded,0,0,13,0.0
362,12,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,0,14,0.0
363,12,Q12,lonely in the crib and enjoying the company of adults is consistently fascinated at,0,0,15,0.0
364,12,Q13,he was designated by the city council,0,0,16,0.0
365,12,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
366,12,Q15,If the room had been brighter,0,0,18,0.0
367,12,Q16,two students because they used notes anyway.,0,0,19,0.0
368,12,Q17,through which gas is exchanged,0,0,20,0.0
369,12,Q18,who tends to resist any attempt at,0,0,21,0.0
370,12,Q19,The amount of water in living cells vary,0,0,22,0.0
371,12,Q20,The belief of ancient scientists was,0,0,23,0.0
372,12,score,7,0,0,24,0.0
373,12,absAssess1,18,0,0,25,0.0
374,12,relAssess1,91,0,0,26,0.0
375,12,diffOther1,2,0,0,27,0.0
376,12,diffSelf1,2,0,0,28,0.0
377,13,absAssess0,15,0,0,0,0.0
378,13,relAssess0,50,0,0,1,0.0
379,13,diffOther0,5,0,0,2,0.0
380,13,diffSelf0,3,0,0,3,0.0
381,13,Q1,he or she is expected to master the printed form of language.,0,0,4,0.0
382,13,Q2,man and there he was able to find,0,0,5,0.0
383,13,Q3,"poetry, along with all the other arts, are",0,0,6,0.0
384,13,Q4,it difficult to choose,0,0,7,0.0
385,13,Q5,accepting responsibility for one's own decisions.,0,0,8,0.0
386,13,Q6,are native to shores,0,0,9,0.0
387,13,Q7,"than a long, continuous period of study.",0,0,10,0.0
388,13,Q8,those in Crime and Punishment exhibit,0,0,11,0.0
389,13,Q9,portrays the feelings of many Spaniards,0,0,12,0.0
390,13,Q10,and finally succeeded,0,0,13,0.0
391,13,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,0,14,0.0
392,13,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,0,15,0.0
393,13,Q13,he was designated by the city council,0,0,16,0.0
394,13,Q14,"""Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
395,13,Q15,If rooms were brighter,0,0,18,0.0
396,13,Q16,two students due to the use of their notes.,0,0,19,0.0
397,13,Q17,through which gas is exchanged,0,0,20,0.0
398,13,Q18,who tends to resistance of any attempt at,0,0,21,0.0
399,13,Q19,The amount of water in living cells varies,0,0,22,0.0
400,13,Q20,The ancient scientists believe,0,0,23,0.0
401,13,score,9,0,0,24,0.0
402,13,absAssess1,10,0,0,25,0.0
403,13,relAssess1,30,0,0,26,0.0
404,13,diffOther1,6,0,0,27,0.0
405,13,diffSelf1,8,0,0,28,0.0
406,14,absAssess0,17,0,0,0,0.0
407,14,relAssess0,82,0,0,1,0.0
408,14,diffOther0,6,0,0,2,0.0
409,14,diffSelf0,6,0,0,3,0.0
410,14,Q1,mastery of print is expected by his or her teacher.,0,0,4,0.0
411,14,Q2,man and then finding,0,0,5,0.0
412,14,Q3,"poetry, along with all the other arts, is",0,0,6,0.0
413,14,Q4,choosing difficult when selecting,0,0,7,0.0
414,14,Q5,accepting one's own decisions responsibly.,0,0,8,0.0
415,14,Q6,are native,0,0,9,0.0
416,14,Q7,"than a long, continuous period of study.",0,0,10,0.0
417,14,Q8,those in Crime and Punishment exhibits,0,0,11,0.0
418,14,Q9,feelings portrayed by Spaniards,0,0,12,0.0
419,14,Q10,and finally succeeded,0,0,13,0.0
420,14,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,0,14,0.0
421,14,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated at",0,0,15,0.0
422,14,Q13,the city council will designate him,0,0,16,0.0
423,14,Q14,"""Bob have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
424,14,Q15,If rooms were brighter,0,0,18,0.0
425,14,Q16,two students whose notes were used.,0,0,19,0.0
426,14,Q17,through which exchange of gas occurs,0,0,20,0.0
427,14,Q18,who tends to resist any attempt to,0,0,21,0.0
428,14,Q19,The amount of water varies,0,0,22,0.0
429,14,Q20,The ancient scientists believe,0,0,23,0.0
430,14,score,2,0,0,24,0.0
431,14,absAssess1,10,0,0,25,0.0
432,14,relAssess1,63,0,0,26,0.0
433,14,diffOther1,7,0,0,27,0.0
434,14,diffSelf1,9,0,0,28,0.0
435,15,absAssess0,19,0,0,0,0.0
436,15,relAssess0,80,0,0,1,0.0
437,15,diffOther0,5,0,0,2,0.0
438,15,diffSelf0,2,0,0,3,0.0
439,15,Q1,he or she faces expectations of mastering the printed form of language.,0,0,4,0.0
440,15,Q2,man and found,0,0,5,0.0
441,15,Q3,"poetry, along with all the other arts, is",0,0,6,0.0
442,15,Q4,it difficult to choose,0,0,7,0.0
443,15,Q5,to accept responsibility for one's own decisions.,0,0,8,0.0
444,15,Q6,are native to shores,0,0,9,0.0
445,15,Q7,than a long period of continuous study.,0,0,10,0.0
446,15,Q8,those in Crime and Punishment exhibit,0,0,11,0.0
447,15,Q9,portrayal of the feelings of many Spaniards,0,0,12,0.0
448,15,Q10,and finally succeeded,0,0,13,0.0
449,15,Q11,had lain on the hay beside its mother and had begun to nurse as soon as the boy had set,0,0,14,0.0
450,15,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,0,15,0.0
451,15,Q13,the city council designated him,0,0,16,0.0
452,15,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,0,17,0.0
453,15,Q15,If the room had been brighter,0,0,18,0.0
454,15,Q16,two students because they used notes anyway.,0,0,19,0.0
455,15,Q17,through which exchange of gas occurs,0,0,20,0.0
456,15,Q18,whose tendency to resist any attempt at,0,0,21,0.0
457,15,Q19,The amount of water in living cells varies,0,0,22,0.0
458,15,Q20,The belief of ancient scientists was,0,0,23,0.0
459,15,score,13,0,0,24,0.0
460,15,absAssess1,17,0,0,25,0.0
461,15,relAssess1,80,0,0,26,0.0
462,15,diffOther1,5,0,0,27,0.0
463,15,diffSelf1,3,0,0,28,0.0
464,16,absAssess0,18,0,0,0,0.0
465,16,relAssess0,70,0,0,1,0.0
466,16,diffOther0,4,0,0,2,0.0
467,16,diffSelf0,3,0,0,3,0.0
468,16,Q1,mastery of the printed form of language is expected of him or her.,0,0,4,0.0
469,16,Q2,man and found,0,0,5,0.0
470,16,Q3,"poetry, along with all the other arts, is",0,0,6,0.0
471,16,Q4,it difficult to choose,0,0,7,0.0
472,16,Q5,to accept responsibility for one's own decisions.,0,0,8,0.0
473,16,Q6,are native to shores,0,0,9,0.0
474,16,Q7,"than studying for a long, continuous period.",0,0,10,0.0
475,16,Q8,those in Crime and Punishment exhibit,0,0,11,0.0
476,16,Q9,feelings,0,0,12,0.0
